model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.0.4,1,189009,0,0.06,193054,0,0.913,1,0,0,28148,39692
v3.2.3,3,47654,0,0.00,823,0,0.979,0,0,0,0,414
v3.0.4,1,683857,0,0.07,191994,0,1.043,1,0,0,29894,39675
v3.2.3,3,732618,0,0.00,1126,0,0.993,0,0,0,0,722
v3.0.4,3,298687,0,0.06,233264,0,0.715,1,0,0,20622,42252
v3.2.4,1,805651,0,0.00,1126,0,0.431,0,0,0,0,722
v3.2.4,3,554660,0,8.03,850149,0,20.862,1,0,0,411975,81914
v3.0.4,3,938194,0,0.07,229328,0,0.854,1,0,0,39637,41109
v3.2.4,1,929293,0,0.00,1025,0,0.627,0,0,0,0,620
v3.2.3,1,111631,0,0.08,195501,0,0.9,1,0,0,38099,42025
v3.0.4,3,669738,0,0.00,673,0,0.554,0,0,0,0,309
v3.2.4,1,557167,0,0.06,197337,0,0.824,1,0,0,39974,41916
v3.2.4,3,87733,0,18.62,855179,0,20.591,1,0,0,1415254,82547
v3.2.4,3,470573,0,0.00,1125,0,1.711,0,0,0,0,721
v3.2.4,1,439671,0,0.00,1025,0,0.535,0,0,0,0,620
v3.0.4,3,558488,0,0.11,222769,0,0.894,0,0,0,26951,39736
v3.2.3,3,927225,0,18.29,672625,0,2.661,1,0,0,886702,63571
v3.2.4,3,353508,0,10.38,850695,0,19.391,1,0,0,619440,82114
v3.2.4,1,544199,0,0.00,924,0,0.495,0,0,0,0,516
v3.0.4,1,688965,0,0.06,186841,0,0.962,1,0,0,29325,38831
v3.2.3,1,390723,0,0.05,186385,0,0.767,1,0,0,17246,40607
v3.0.4,3,316238,0,0.00,674,0,0.444,0,0,0,0,310
v3.0.4,3,927225,0,0.11,226705,0,0.987,1,0,0,80052,40931
v3.2.3,1,677012,0,0.08,188134,0,0.747,1,0,0,64935,40238
v3.0.4,3,776845,0,0.07,222895,0,0.7,1,0,0,41002,40537
v3.0.4,3,465936,0,0.00,674,0,0.59,0,0,0,0,310
