model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.0.4,1,172,0,0.06,183733,0,0.753,1,0,0,38705,38527
v3.0.4,1,2142,0,0.05,193761,0,0.72,1,0,0,16793,40965
v3.2.4,1,8147,0,0.06,201146,0,0.94,1,0,0,38380,42208
v3.2.3,3,2809,0,7.31,681952,0,2.435,1,0,0,243758,64468
v3.2.4,1,2083,0,0.07,194015,0,0.786,1,0,0,23424,41133
v3.2.3,1,5145,0,0.06,192587,0,0.969,1,0,0,22429,40983
v3.2.4,3,9017,0,9.31,852506,0,26.146,1,0,0,366464,81698
v3.2.3,1,2273,0,0.09,193534,0,0.863,1,0,0,71619,41147
v3.0.4,1,8978,0,0.06,189103,0,0.705,1,0,0,36051,39714
v3.0.4,3,8471,0,0.07,91824,0,0.999,0,0,0,28066,19082
v3.2.4,3,4837,0,0.35,847024,0,24.997,1,0,0,56996,82004
v3.0.4,1,4995,0,0.07,190540,0,1.214,1,0,0,36518,39836
v3.2.3,3,3951,0,24.82,679156,0,2.277,1,0,0,1641940,64386
v3.2.4,1,9241,0,0.06,200842,0,1.17,1,0,0,11002,41992
v3.0.4,3,1931,0,0.09,227397,0,1.03,1,0,0,26963,40796
v3.0.4,1,8610,0,0.05,192594,0,0.711,1,0,0,16844,40317
v3.0.4,3,6379,0,0.05,234689,0,0.783,1,0,0,11168,41912
v3.0.4,3,9840,0,0.07,236000,0,0.703,1,0,0,36727,41883
v3.2.3,1,6052,0,0.06,201621,0,1.082,1,0,0,19707,42854
v3.2.4,3,1091,0,66.63,858409,0,26.749,1,0,0,3072625,82604
v3.2.3,1,1014,0,0.07,201258,0,0.817,1,0,0,26234,42441
v3.0.4,3,5503,0,0.05,230305,0,0.84,1,0,0,11163,41338
v3.2.4,1,8837,0,0.07,204080,0,0.883,1,0,0,31086,42690
v3.2.4,3,6337,0,18.07,840216,0,25.662,1,0,0,667915,80885
v3.2.3,1,7748,0,0.06,197219,0,0.852,1,0,0,24105,41894
v3.0.4,3,9582,0,0.07,227089,0,1.008,1,0,0,20402,41044
v3.2.3,1,6945,0,0.07,199887,0,0.794,1,0,0,65486,42044
v3.2.3,3,1606,0,13.68,675291,0,2.723,1,0,0,625748,63387
v3.2.4,3,6743,0,35.37,839427,0,24.74,1,0,0,1654643,80749
v3.2.3,1,3884,0,0.07,204843,0,0.832,1,0,0,41357,43008
v3.0.4,3,6616,0,0.10,226855,0,0.986,1,0,0,22588,40638
v3.2.4,3,790,0,15.67,856799,0,21.339,1,0,0,1054111,82181
v3.0.4,1,146,0,0.05,195036,0,0.862,1,0,0,28479,40366
v3.2.4,3,4462,0,3.83,849039,0,24.767,1,0,0,240395,81946
v3.2.4,1,679,0,0.08,200471,0,1.35,1,0,0,17377,42182
v3.0.4,1,3354,0,0.07,187643,0,0.808,1,0,0,30221,39302
v3.2.4,3,2375,0,0.00,924,0,1.893,0,0,0,0,516
v3.2.4,1,5095,0,0.08,201605,0,0.863,1,0,0,42634,42482
v3.0.4,3,6575,0,0.08,223094,0,0.965,1,0,0,14541,40196
v3.0.4,1,1541,0,0.07,192915,0,0.773,1,0,0,20338,40299
v3.2.3,1,1141,0,0.05,202141,0,0.833,1,0,0,14999,42446
v3.0.4,1,8169,0,0.06,190559,0,0.666,1,0,0,41920,40013
v3.2.3,1,7096,0,0.07,196798,0,0.847,1,0,0,44197,41408
v3.2.4,1,9897,0,0.07,188368,0,1.145,1,0,0,8630,39755
v3.0.4,1,7642,0,0.07,187851,0,0.99,1,0,0,26818,39463
v3.0.4,3,1251,0,0.00,1078,0,0.557,0,0,0,0,722
v3.0.4,3,1446,0,0.11,231357,0,1.039,1,0,0,40875,41326
v3.2.3,1,9301,0,0.09,195441,0,0.787,1,0,0,65239,41190
v3.0.4,3,7713,0,0.13,223143,0,1.513,1,0,0,35094,39876
v3.2.4,1,5264,0,0.06,200361,0,0.975,1,0,0,27230,42132
v3.2.4,1,2690,0,0.13,196766,0,1.055,1,0,0,58145,41447
v3.2.3,1,4396,0,0.06,196392,0,0.741,1,0,0,19347,41371
v3.2.4,1,209,0,0.08,197590,0,0.849,1,0,0,63736,42110
v3.0.4,3,3511,0,0.05,228421,0,0.733,1,0,0,11907,40834
v3.0.4,1,5315,0,0.06,193635,0,0.92,1,0,0,24154,40254
v3.0.4,3,5274,0,0.05,228158,0,0.82,1,0,0,22049,40405
v3.2.4,3,8638,0,0.00,722,0,1.478,0,0,0,0,310
v3.0.4,3,7829,0,0.07,226766,0,1.086,1,0,0,20764,40930
v3.2.4,1,8439,0,0.07,199745,0,0.959,1,0,0,28418,42180
v3.0.4,1,1344,0,0.07,188071,0,0.871,1,0,0,38338,39049
v3.0.4,1,481,0,0.08,192279,0,0.893,1,0,0,36822,39793
v3.2.4,1,6095,0,0.07,192682,0,0.965,1,0,0,45910,41579
v3.2.4,3,1578,0,27.79,846188,0,24.032,1,0,0,1454248,81759
v3.2.4,3,8000,0,2.93,857287,0,19.814,1,0,0,255791,82905
v3.0.4,3,295,0,0.06,226672,0,0.987,1,0,0,13695,40354
v3.2.3,3,2113,0,0.00,1025,0,1.239,0,0,0,0,620
v3.2.4,1,4856,0,0.08,197459,0,0.849,1,0,0,39175,41495
v3.2.4,1,7375,0,0.09,199748,0,1.104,1,0,0,45960,41943
v3.2.3,3,5778,0,18.99,664270,0,2.917,1,0,0,963825,62649
v3.2.3,1,5812,0,0.06,195394,0,0.901,1,0,0,20590,41579
v3.2.3,1,9050,0,0.05,194809,0,1.008,1,0,0,25035,41488
v3.0.4,1,921,0,0.05,196670,0,0.682,1,0,0,22458,40485
v3.2.3,3,1459,0,19.20,669187,0,2.095,1,0,0,1429583,62699
v3.0.4,1,9657,0,0.09,186006,0,0.648,1,0,0,93910,39622
v3.2.4,3,7283,0,24.13,849515,0,20.396,1,0,0,1324962,82063
v3.2.3,3,6278,0,0.00,1227,0,1.74,0,0,0,0,826
v3.2.3,1,2259,0,0.06,201346,0,0.835,1,0,0,41637,42278
v3.2.3,3,2378,0,17.12,676958,0,2.452,1,0,0,873493,63769
v3.2.3,3,1363,0,32.37,677384,0,1.895,1,0,0,2321480,63010
v3.0.4,3,1321,0,0.08,233803,0,0.913,1,0,0,22341,41231
v3.2.3,1,8118,0,0.05,199301,0,0.816,1,0,0,11335,42408
v3.2.4,3,3196,0,4.10,855178,0,25.57,1,0,0,263878,81884
v3.2.3,1,9131,0,0.07,200654,0,0.828,1,0,0,24248,42078
v3.2.3,3,7561,0,61.37,675646,0,2.489,1,0,0,4259716,63903
v3.2.3,1,6481,0,0.07,204074,0,0.87,1,0,0,46108,42693
v3.0.4,3,6714,0,0.08,228540,0,0.958,1,0,0,21202,40690
v3.0.4,1,9831,0,0.06,188582,0,0.953,1,0,0,13469,39368
v3.0.4,3,6666,0,0.09,226874,0,0.882,1,0,0,48543,41107
v3.2.4,1,7210,0,0.06,198815,0,1.274,1,0,0,12678,42009
v3.2.3,1,1297,0,0.05,193129,0,0.838,1,0,0,16683,41151
v3.0.4,3,239,0,0.00,977,0,0.578,0,0,0,0,620
v3.2.3,3,7959,0,55.27,674847,0,2.533,1,0,0,3544355,63180
v3.0.4,1,9615,0,0.07,188863,0,0.666,1,0,0,44281,39059
v3.0.4,1,2802,0,0.05,191104,0,0.844,1,0,0,19093,39871
v3.2.4,3,7465,0,68.00,839690,0,23.246,1,0,0,3133658,80101
v3.2.4,1,499,0,0.10,199736,0,0.83,1,0,0,110061,41937
v3.2.4,1,1570,0,0.00,520,0,0.507,0,0,0,0,104
v3.2.4,1,6736,0,0.08,195335,0,1.18,1,0,0,47403,41515
v3.2.4,3,4766,0,3.60,851916,0,22.96,1,0,0,235519,81854
v3.2.4,1,9674,0,0.11,195458,0,1.178,1,0,0,57721,41059
v3.2.3,1,3986,0,0.06,195261,0,0.903,1,0,0,49207,41553
v3.2.4,3,1821,0,18.94,851095,0,25.708,1,0,0,957405,82289
v3.2.3,3,562,0,16.73,675499,0,2.613,1,0,0,894999,64079
v3.2.4,3,1675,0,82.91,848765,0,26.639,0,0,0,3203666,81061
v3.2.3,1,6573,0,0.07,203760,0,0.919,1,0,0,41096,42925
v3.0.4,3,7144,0,0.00,1078,0,0.834,0,0,0,0,722
v3.0.4,1,4260,0,0.05,189493,0,0.873,1,0,0,15994,39788
v3.0.4,3,2184,0,0.10,225521,0,1.081,1,0,0,38214,40753
v3.0.4,1,183,0,0.07,185737,0,0.804,1,0,0,37593,38909
v3.2.4,3,8675,0,24.69,845499,0,24.688,1,0,0,1298125,81099
v3.0.4,3,4394,0,0.12,222535,0,0.807,1,0,0,56075,39958
v3.2.3,1,3463,0,0.05,197816,0,1.057,1,0,0,12156,41516
v3.0.4,1,5530,0,0.08,195610,0,0.856,1,0,0,44574,40442
v3.2.3,1,1589,0,0.07,204460,0,0.777,1,0,0,58615,42792
v3.2.4,1,2786,0,0.07,197661,0,0.949,1,0,0,38699,41367
v3.2.4,3,6823,0,6.08,538792,0,20.593,0,0,0,345563,54944
v3.2.3,3,8079,0,15.97,676954,0,2.174,1,0,0,1073377,63743
v3.2.4,3,2308,0,8.86,856547,0,25.552,1,0,0,384178,82887
v3.2.4,1,1967,0,0.07,199007,0,0.87,1,0,0,41781,41819
v3.2.4,3,4815,0,13.84,860772,0,26.265,1,0,0,660749,83235
v3.2.4,1,4150,0,0.06,201769,0,0.795,1,0,0,19952,42325
v3.2.4,1,593,0,0.07,195492,0,0.95,1,0,0,37206,42070
v3.2.3,3,7961,0,71.83,681401,0,2.426,1,0,0,4143241,64721
v3.2.3,1,1112,0,0.07,195559,0,0.888,1,0,0,37930,41609
v3.0.4,1,1382,0,0.10,184366,0,0.699,1,0,0,29675,38775
v3.0.4,1,1215,0,0.10,187938,0,0.937,1,0,0,48855,38940
v3.2.3,3,2614,0,13.40,680755,0,3.335,1,0,0,559711,64485
v3.2.4,1,9947,0,0.07,196005,0,1.106,1,0,0,31088,41625
v3.0.4,3,4591,0,0.06,228876,0,0.81,1,0,0,13567,41146
v3.0.4,3,6360,0,0.05,223031,0,0.768,1,0,0,28976,40779
v3.0.4,1,2887,0,0.09,189293,0,0.798,1,0,0,61266,39657
v3.2.3,3,1229,0,6.64,674327,0,2.045,1,0,0,413163,63856
v3.2.4,3,9475,0,2.29,844751,0,24.176,1,0,0,187294,82363
v3.2.4,3,3986,0,24.25,848189,0,26.419,1,0,0,1329848,81689
v3.2.4,3,3813,0,8.05,853392,0,25.124,1,0,0,276419,82594
v3.2.4,1,9122,0,0.07,201656,0,1.048,1,0,0,35828,42413
v3.0.4,3,1181,0,0.11,230744,0,1.048,1,0,0,49392,40720
v3.2.3,1,1307,0,0.07,197535,0,0.78,1,0,0,34838,41935
v3.2.4,1,2226,0,0.07,193436,0,0.841,1,0,0,38611,41138
v3.2.3,3,9671,0,10.59,665857,0,2.875,1,0,0,608187,62690
v3.0.4,3,1310,0,0.00,876,0,0.931,0,0,0,0,516
v3.2.3,3,6939,0,0.00,722,0,1.391,0,0,0,0,312
v3.2.3,1,2857,0,0.07,196354,0,0.977,1,0,0,31229,41671
v3.2.4,3,5865,0,8.68,720632,0,26.752,1,0,0,381768,71739
v3.0.4,3,6033,0,0.05,234494,0,0.73,1,0,0,15739,41708
v3.2.4,3,5499,0,2.43,845947,0,24.001,1,0,0,219659,81449
v3.2.3,3,1735,0,15.14,670590,0,2.236,1,0,0,852021,63032
v3.0.4,3,682,0,0.00,875,0,1.262,0,0,0,0,515
v3.0.4,1,3247,0,0.05,189012,0,0.749,1,0,0,17859,39593
v3.2.4,1,2994,0,0.07,199310,0,0.863,1,0,0,34626,41967
v3.2.4,3,6047,0,35.51,830530,0,25.573,1,0,0,1835230,79915
v3.0.4,3,994,0,0.05,227670,0,0.824,1,0,0,11771,40856
v3.2.4,3,1478,0,18.66,849882,0,25.534,1,0,0,993073,81960
v3.2.4,1,5706,0,0.07,206046,0,0.96,1,0,0,28117,43275
v3.2.4,1,9657,0,0.09,191550,0,1.152,1,0,0,15605,41494
v3.0.4,1,168,0,0.08,189156,0,0.735,1,0,0,61567,39700
v3.2.3,3,9790,0,0.00,823,0,1.118,0,0,0,0,414
v3.2.4,3,7563,0,12.57,568726,0,21.713,0,0,0,720574,57455
v3.2.4,1,9593,0,0.00,1328,0,0.594,0,0,0,0,928
v3.2.4,3,165,0,13.68,858249,0,27.317,1,0,0,600334,82511
v3.0.4,1,4933,0,0.05,191252,0,0.88,1,0,0,13800,39945
v3.0.4,3,3571,0,0.07,227905,0,0.946,1,0,0,16321,40277
v3.2.3,1,2260,0,0.09,198811,0,0.942,1,0,0,80107,42268
v3.0.4,3,8010,0,0.22,226398,0,1.19,1,0,0,80478,40668
v3.2.3,1,2502,0,0.07,197710,0,0.778,1,0,0,45348,42080
v3.0.4,1,2851,0,0.07,193450,0,0.855,1,0,0,38624,40549
v3.0.4,1,7589,0,0.11,184322,0,0.964,1,0,0,78271,39554
v3.2.3,1,5554,0,0.06,190899,0,0.934,1,0,0,19787,41624
v3.0.4,3,8101,0,0.10,217002,0,1.093,1,0,0,33513,39328
v3.0.4,3,7010,0,0.09,221685,0,0.992,1,0,0,26569,40049
v3.2.3,3,3389,0,16.20,674880,0,2.357,1,0,0,893154,63476
v3.0.4,3,9901,0,0.06,224583,0,0.826,1,0,0,16352,40479
v3.2.3,1,5699,0,0.06,201636,0,0.964,1,0,0,33814,42408
v3.2.3,3,2342,0,9.53,534959,0,2.596,0,0,0,664932,49654
v3.2.4,1,7490,0,0.09,200665,0,0.875,1,0,0,75184,42155
v3.0.4,3,936,0,0.11,230150,0,1.162,1,0,0,38463,41218
v3.2.4,3,2703,0,2.18,851869,0,24.83,1,0,0,157751,81850
v3.2.4,1,6047,0,0.08,192057,0,0.961,1,0,0,35519,40539
v3.2.4,3,2540,0,9.60,845898,0,25.531,1,0,0,399619,81616
v3.2.3,1,8745,0,0.07,191415,0,0.852,1,0,0,39234,40880
v3.0.4,3,5231,0,0.08,227618,0,0.775,1,0,0,45828,41152
v3.0.4,1,1559,0,0.07,194454,0,0.792,1,0,0,44396,40122
v3.0.4,1,6207,0,0.07,193962,0,0.994,1,0,0,36452,40287
v3.2.4,1,3513,0,0.05,195404,0,0.845,1,0,0,21103,41420
v3.2.4,3,9123,0,0.64,846449,0,23.395,1,0,0,76683,81785
v3.2.3,1,492,0,0.05,198014,0,0.754,1,0,0,24892,42138
v3.2.3,1,7316,0,0.07,197149,0,0.888,1,0,0,41389,42002
v3.2.4,3,1436,0,0.00,924,0,2.154,0,0,0,0,516
v3.0.4,1,7040,0,0.07,185232,0,0.972,1,0,0,39262,39127
v3.2.3,3,7837,0,78.63,680837,0,2.122,1,0,0,4929746,64129
v3.2.3,3,8445,0,9.22,669810,0,2.69,1,0,0,441502,62819
v3.0.4,1,7716,0,0.05,196083,0,0.664,1,0,0,23389,40369
v3.2.3,1,9657,0,0.06,191550,0,0.848,1,0,0,15605,41494
v3.2.3,1,4128,0,0.07,196714,0,0.739,1,0,0,58574,41929
v3.2.4,1,458,0,0.06,200405,0,0.824,1,0,0,20252,42038
v3.0.4,3,4093,0,0.07,233477,0,0.737,1,0,0,36130,41471
v3.2.3,3,1150,0,54.47,676543,0,2.186,1,0,0,3290420,63809
v3.2.4,1,3979,0,0.05,193124,0,0.761,1,0,0,15640,41579
v3.2.3,3,2630,0,1.70,682487,0,1.883,1,0,0,107440,64329
v3.2.4,1,4233,0,0.08,195279,0,0.895,1,0,0,43191,41181
v3.2.4,3,6839,0,2.58,856661,0,21.112,1,0,0,193260,82396
v3.2.4,1,7564,0,0.08,200655,0,0.969,1,0,0,40970,42278
v3.0.4,3,8594,0,0.08,233156,0,0.741,1,0,0,47126,41826
v3.0.4,1,3379,0,0.08,188533,0,0.854,1,0,0,60986,39505
v3.2.4,1,972,0,0.10,201259,0,1.124,1,0,0,45312,42366
v3.2.4,3,6742,0,46.98,842070,0,23.336,1,0,0,1863231,80857
v3.2.3,3,3244,0,7.82,676954,0,2.99,1,0,0,193897,64183
v3.2.3,1,8827,0,0.07,191759,0,0.842,1,0,0,40460,41178
v3.2.4,1,3402,0,0.09,198065,0,0.782,1,0,0,73091,41743
v3.2.3,3,6301,0,9.87,682940,0,2.63,1,0,0,462040,64718
v3.2.3,1,1684,0,0.06,192398,0,0.862,1,0,0,15325,41066
v3.2.4,3,5284,0,11.10,826535,0,22.919,1,0,0,725123,79167
v3.2.4,3,3034,0,3.76,845431,0,25.066,1,0,0,246601,81418
v3.2.3,3,3967,0,23.91,671737,0,2.295,1,0,0,1668804,63119
v3.0.4,3,7998,0,0.00,674,0,0.839,0,0,0,0,310
v3.2.3,1,9295,0,0.08,194633,0,0.776,1,0,0,36403,41789
v3.2.4,1,1441,0,0.06,196136,0,0.802,1,0,0,20300,41754
v3.0.4,1,3537,0,0.05,193248,0,0.826,1,0,0,19929,40225
v3.2.4,1,2620,0,0.06,198918,0,0.948,1,0,0,14757,41807
v3.0.4,1,5390,0,0.06,185913,0,0.946,1,0,0,22617,38969
v3.2.3,1,3999,0,0.05,192442,0,0.799,1,0,0,17907,40601
v3.2.4,1,7330,0,0.07,200446,0,1.092,1,0,0,17335,42041
v3.2.4,1,7862,0,0.09,186249,0,1.046,0,0,0,23790,39830
v3.2.3,1,2279,0,0.06,195399,0,0.962,1,0,0,23982,41548
v3.2.3,1,2914,0,0.08,197185,0,0.984,1,0,0,41703,41955
v3.2.3,3,6404,0,13.68,683591,0,2.442,1,0,0,672313,64677
v3.2.4,1,7432,0,0.08,190523,0,1.169,1,0,0,33479,41160
v3.0.4,3,9282,0,0.11,227074,0,1.185,1,0,0,32307,40259
v3.2.3,3,1260,0,17.06,679738,0,1.893,1,0,0,1322168,63630
