model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.2.4,1,90630,0,0.07,196882,0,0.79,1,0,0,57466,41674
v3.0.4,1,437372,0,0.00,775,0,0.498,0,0,0,0,414
v3.2.3,1,962514,0,0.06,201489,0,0.796,1,0,0,24213,42325
v3.2.3,1,318738,0,0.00,823,0,0.488,0,0,0,0,414
v3.2.3,3,193884,0,0.00,823,0,0.885,0,0,0,0,414
v3.2.3,1,664940,0,0.00,924,0,0.523,0,0,0,0,516
v3.2.4,1,7448,0,0.07,190123,0,0.918,1,0,0,30501,40847
v3.2.3,3,317837,0,0.00,924,0,1.06,0,0,0,0,518
v3.2.4,1,946248,0,0.06,194981,0,0.765,1,0,0,29186,41179
v3.0.4,1,15838,0,0.00,472,0,0.616,0,0,0,0,104
v3.2.4,3,662415,0,0.00,621,0,1.679,0,0,0,0,208
v3.0.4,1,543614,0,0.00,674,0,0.55,0,0,0,0,310
v3.2.4,1,466724,0,0.00,924,0,0.525,0,0,0,0,516
v3.2.4,1,449921,0,0.05,191746,0,0.858,1,0,0,16934,40921
v3.2.3,1,222989,0,0.07,197862,0,0.692,1,0,0,58285,42204
v3.2.3,1,970659,0,0.06,199572,0,0.797,1,0,0,15195,41846
v3.0.4,1,568937,0,0.00,977,0,0.473,0,0,0,0,620
v3.0.4,3,464204,0,0.07,229253,0,0.974,1,0,0,21348,40898
v3.0.4,1,260373,0,0.00,573,0,0.519,0,0,0,0,208
v3.2.4,1,302562,0,0.00,924,0,0.49,0,0,0,0,516
v3.2.3,1,926054,0,0.00,924,0,0.785,0,0,0,0,518
v3.2.3,1,466724,0,0.00,924,0,0.493,0,0,0,0,516
v3.2.4,1,688116,0,0.00,1227,0,0.61,0,0,0,0,826
v3.0.4,1,876081,0,0.00,977,0,0.533,0,0,0,0,620
v3.0.4,1,966506,0,0.07,190359,0,0.77,1,0,0,39308,39217
v3.2.4,3,632915,0,2.15,846800,0,20.548,1,0,0,208896,82184
v3.0.4,1,690232,0,0.00,876,0,0.606,0,0,0,0,516
v3.2.4,1,245186,0,0.00,924,0,0.512,0,0,0,0,516
v3.2.4,1,81812,0,0.00,1025,0,0.581,0,0,0,0,620
v3.2.4,3,677159,0,0.00,924,0,1.766,0,0,0,0,516
v3.2.4,1,391696,0,0.07,195004,0,0.738,1,0,0,53408,41507
v3.2.4,1,842741,0,0.05,189338,0,0.854,1,0,0,23145,40570
v3.2.3,1,100768,0,0.00,1328,0,0.843,0,0,0,0,928
v3.2.4,1,766482,0,0.00,1025,0,0.582,0,0,0,0,620
v3.2.3,1,458719,0,0.00,621,0,0.526,0,0,0,0,208
v3.0.4,1,676636,0,0.07,192677,0,0.777,1,0,0,52614,39478
v3.0.4,1,218429,0,0.08,187291,0,0.935,1,0,0,50947,39260
v3.2.4,1,183107,0,0.05,197757,0,0.768,0,0,0,7744,41677
v3.2.4,1,680932,0,0.06,190931,0,1.232,1,0,0,50002,40927
v3.2.3,1,818248,0,0.00,823,0,0.542,0,0,0,0,414
v3.0.4,1,498888,0,0.00,977,0,0.513,0,0,0,0,620
v3.2.3,1,725052,0,0.05,200784,0,0.852,1,0,0,11518,42247
